user_word_id,word_id,user_id,was_new,was_due,overdue_time,previous_incorrect_count,previous_correct_count,previous_easiness_factor,user_rated_answer,time_to_answer,correct,created_at,updated_at,user_role,previous_repetition_number,previous_interval,actual_interval,was_failed,previous_attempts,previous_answer,previous_time_to_answer,word_average_easiness_factor
4952,392,20,false,2012-10-09 12:55:45 +1000,1.87452900031931,6,5,1.3,3,6.082,true,2012-10-11 09:55:04 +1000,2012-10-11 09:55:04 +1000,participant,4,5.07,6.94452900031931,false,11,3,3.726,2.43785714285714
4990,430,20,false,2012-10-09 12:56:08 +1000,1.87448706688912,1,4,1.3,3,5.036,true,2012-10-11 09:55:24 +1000,2012-10-11 09:55:24 +1000,participant,4,5.07,6.94448706688912,false,5,3,3.812,2.45714285714286
4984,424,20,false,2012-10-09 12:56:17 +1000,1.8744501792851,2,4,1.3,3,2.888,true,2012-10-11 09:55:30 +1000,2012-10-11 09:55:30 +1000,participant,4,5.07,6.9444501792851,false,6,3,4.926,2.45714285714286
4917,357,20,false,2012-10-09 17:09:56 +1000,1.69868517177035,1,4,1.68,3,3.198,true,2012-10-11 09:56:02 +1000,2012-10-11 09:56:02 +1000,participant,4,9.1728,10.8714851717703,false,5,3,5.416,2.40142857142857
4991,431,20,false,2012-10-09 23:06:34 +1000,1.45175111512431,7,6,1.3,3,3.389,true,2012-10-11 09:57:06 +1000,2012-10-11 09:57:06 +1000,participant,1,1.0,2.45175111512431,false,13,3,4.906,2.45714285714286
4949,389,20,false,2012-10-10 05:30:35 +1000,1.18518897989152,1,4,1.56,3,5.669,true,2012-10-11 09:57:16 +1000,2012-10-11 09:57:16 +1000,participant,4,7.3008,8.48598897989152,false,5,4,12.327,2.46142857142857
4926,366,20,false,2012-10-10 09:11:29 +1000,1.0318622117322,1,4,1.68,3,2.793,true,2012-10-11 09:57:22 +1000,2012-10-11 09:57:22 +1000,participant,4,8.4672,9.4990622117322,false,5,4,3.894,2.44142857142857
4878,318,20,false,2012-10-10 11:21:36 +1000,0.941782516109768,5,6,1.3,3,3.01,true,2012-10-11 09:57:46 +1000,2012-10-11 09:57:46 +1000,participant,5,6.591,7.53278251610977,false,11,3,2.768,2.28571428571429
4936,376,20,false,2012-10-09 12:55:57 +1000,1.8744549333244,3,6,1.3,3,3.279,true,2012-10-11 09:55:10 +1000,2012-10-11 09:55:10 +1000,participant,4,5.07,6.9444549333244,false,9,3,3.675,2.41428571428571
4782,222,20,false,2012-10-09 15:38:28 +1000,1.76194549961419,1,6,2.0,3,3.347,true,2012-10-11 09:55:40 +1000,2012-10-11 09:55:40 +1000,participant,4,12.0,13.7619454996142,false,7,4,2.522,1.74571428571429
4859,299,20,false,2012-10-09 18:12:15 +1000,1.65551513171509,0,4,1.94,3,3.09,true,2012-10-11 09:56:12 +1000,2012-10-11 09:56:12 +1000,participant,4,12.1056,13.7611151317151,false,4,3,2.618,2.46285714285714
4930,370,20,false,2012-10-09 18:36:11 +1000,1.63897003546921,13,8,1.3,3,2.611,true,2012-10-11 09:56:18 +1000,2012-10-11 09:56:18 +1000,participant,1,1.0,2.63897003546921,false,21,3,3.481,2.41428571428571
4887,327,20,false,2012-10-09 18:36:24 +1000,1.63901187341972,5,7,1.3,3,5.031,true,2012-10-11 09:56:35 +1000,2012-10-11 09:56:35 +1000,participant,1,1.0,2.63901187341972,false,12,3,6.975,2.30357142857143
4998,438,20,false,2012-10-09 19:23:09 +1000,1.60662420111815,5,5,1.3,3,2.442,true,2012-10-11 09:56:42 +1000,2012-10-11 09:56:42 +1000,participant,1,1.0,2.60662420111815,false,10,3,3.56,2.45714285714286
4995,435,20,false,2012-10-09 19:23:19 +1000,1.60662013485475,5,6,1.3,3,2.755,true,2012-10-11 09:56:51 +1000,2012-10-11 09:56:51 +1000,participant,1,1.0,2.60662013485475,false,11,3,2.922,2.45714285714286
4931,371,20,false,2012-10-10 09:12:16 +1000,1.03137339035981,1,4,1.68,3,2.486,true,2012-10-11 09:57:27 +1000,2012-10-11 09:57:27 +1000,participant,4,8.4672,9.49857339035981,false,5,4,37.907,2.42285714285714
4840,280,20,false,2012-10-10 11:21:29 +1000,0.941774927876829,9,8,1.3,3,3.791,true,2012-10-11 09:57:39 +1000,2012-10-11 09:57:39 +1000,participant,5,6.591,7.53277492787683,false,17,3,3.056,2.35857142857143
4907,347,20,false,2012-10-10 11:30:27 +1000,0.935995503809109,1,4,1.82,3,2.179,true,2012-10-11 09:58:17 +1000,2012-10-11 09:58:17 +1000,participant,4,9.9372,10.8731955038091,false,5,4,2.251,2.485
4978,418,20,false,2012-10-10 12:24:20 +1000,0.89867766814353,1,4,1.42,3,2.838,true,2012-10-11 09:58:26 +1000,2012-10-11 09:58:26 +1000,participant,4,6.0492,6.94787766814353,false,5,4,11.78,2.45714285714286
4842,282,20,false,2012-10-10 15:09:52 +1000,0.783899064933252,0,4,2.08,3,2.749,true,2012-10-11 09:58:40 +1000,2012-10-11 09:58:40 +1000,participant,4,12.9792,13.7630990649333,false,4,4,3.767,2.26928571428571
4891,331,20,false,2012-10-11 02:05:04 +1000,0.328962630140382,1,4,1.96,3,2.428,true,2012-10-11 09:58:47 +1000,2012-10-11 09:58:47 +1000,participant,4,11.5248,11.8537626301404,false,5,4,2.653,2.49357142857143
4864,304,20,false,2012-10-11 17:52:58 +1000,-0.329113717365116,1,5,1.3,3,5.296,true,2012-10-11 09:59:03 +1000,2012-10-11 09:59:03 +1000,participant,5,7.86396,7.53484628263488,false,6,3,2.513,2.28928571428571
4870,310,20,false,2012-10-11 17:53:04 +1000,-0.329090037048831,1,5,1.3,3,4.541,true,2012-10-11 09:59:11 +1000,2012-10-11 09:59:11 +1000,participant,5,7.86396,7.53486996295117,false,6,3,2.695,2.48214285714286
4806,246,20,false,2012-10-11 22:45:49 +1000,-0.532081057266412,1,5,1.56,3,2.653,true,2012-10-11 09:59:38 +1000,2012-10-11 09:59:38 +1000,participant,5,11.389248,10.8571669427336,false,6,4,4.522,2.49785714285714
5008,448,20,false,2012-10-08 18:33:11 +1000,0.0,4,4,1.3,3,2.568,true,2012-10-11 10:00:07 +1000,2012-10-11 10:00:07 +1000,participant,0,0.0,0.0,true,8,1,4.585,2.45714285714286
4820,260,20,false,2012-10-08 23:06:18 +1000,0.0,3,6,1.3,3,5.483,true,2012-10-11 11:11:58 +1000,2012-10-11 11:11:58 +1000,participant,0,0.0,0.0,true,9,1,4.994,2.13214285714286
